dataset,institution,rcm,gcm,scenario,variant,version,frequency,variable,file_count,year_start,year_end,size_gb
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CLMCOM-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,HISTORICAL,r1i1p1f2,v1-r1,1hrPt,tas,65,1950,2014,131.233050911
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CLMCOM-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,SSP126,r1i1p1f2,v1-r1,1hrPt,tas,86,2015,2100,323.86924883
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CLMCOM-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,SSP245,r1i1p1f2,v1-r1,1hrPt,tas,86,2015,2100,273.578764859
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CLMCOM-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,SSP370,r1i1p1f2,v1-r1,1hrPt,tas,86,2015,2100,345.2670586
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CLMCOM-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,SSP585,r1i1p1f2,v1-r1,1hrPt,tas,86,2015,2100,345.130557806
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CLMCOM-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,HISTORICAL,r1i1p1f1,v1-r1,1hrPt,tas,65,1950,2014,146.126400727
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,CLMCOM-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,SSP126,r1i1p1f1,v1-r1,1hrPt,tas,86,2015,2100,334.081811644
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP245,CLMCOM-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,SSP245,r1i1p1f1,v1-r1,1hrPt,tas,78,2015,2092,313.829782469
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP370,CLMCOM-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,SSP370,r1i1p1f1,v1-r1,1hrPt,tas,86,2015,2100,345.589201108
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP585,CLMCOM-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,SSP585,r1i1p1f1,v1-r1,1hrPt,tas,86,2015,2100,345.642379651
