dataset,data_family,scenario,gcm,rcm,variant,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,scenario_file_count,reference_file_count,source_inventory_name_size_sha256,available_year_start,available_year_end,rank_year_start,rank_year_end
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,1,2013,68366.02,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,2,2010,37394.406,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,3,1983,28373.822,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,4,2014,21470.71,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,5,1978,20639.97,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,6,2009,19858.684,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,7,1956,18995.752,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,8,2001,16633.207,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,9,2003,15185.663,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,10,2004,13250.922,russo2015-noleap365-v1,6115,Germany+France,65,65,0,652d48d2240b102870b62b5003b10fc92360a1780b8d219a70ce8a847c17c5d5,1950,2014,1950,2014.0
