ensemble,scenario,rank,year,hwmid_sum,hwmid_method,country_cells,countries
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,1,2026,39857.348,russo2015-noleap365-v1,1779,Germany+France
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,2,2032,34494.51,russo2015-noleap365-v1,1779,Germany+France
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,1,2091,64202.68,russo2015-noleap365-v1,1779,Germany+France
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,RCP85,2,2099,57037.01,russo2015-noleap365-v1,1779,Germany+France
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,1,2043,30298.39,russo2015-noleap365-v1,1779,Germany+France
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,RCP45,2,2070,27049.078,russo2015-noleap365-v1,1779,Germany+France
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,RCP85,1,2094,46789.492,russo2015-noleap365-v1,1779,Germany+France
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,RCP85,2,2093,40336.215,russo2015-noleap365-v1,1779,Germany+France
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,RCP45,1,2062,22341.527,russo2015-noleap365-v1,1779,Germany+France
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,RCP45,2,2030,19579.527,russo2015-noleap365-v1,1779,Germany+France
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,RCP85,1,2092,57152.09,russo2015-noleap365-v1,1779,Germany+France
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,RCP85,2,2082,50744.855,russo2015-noleap365-v1,1779,Germany+France
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,RCP45,1,2069,23747.408,russo2015-noleap365-v1,1779,Germany+France
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,RCP45,2,2070,23068.68,russo2015-noleap365-v1,1779,Germany+France
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,RCP85,1,2091,35876.645,russo2015-noleap365-v1,1779,Germany+France
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,RCP85,2,2060,30944.633,russo2015-noleap365-v1,1779,Germany+France
