ensemble,scenario,driving_model,regional_model,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_name
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,1,2026,39857.348,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,2,2032,34494.51,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,3,2042,22587.219,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,4,2075,20858.514,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,5,2093,20793.16,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,6,2097,17944.896,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,7,2028,17115.553,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,8,2025,15096.046,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,9,2085,14746.36,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN63,10,1965,13312.24,russo2015-noleap365-v1,1779,Germany+France,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc
