year,days_in_file,valid_days_selected_cells,included_in_ranking
1950,365,365,True
1951,365,365,True
1952,366,366,True
1953,365,365,True
1954,365,365,True
1955,365,365,True
1956,366,366,True
1957,365,365,True
1958,365,365,True
1959,365,365,True
1960,366,366,True
1961,365,365,True
1962,365,365,True
1963,365,365,True
1964,366,366,True
1965,365,365,True
1966,365,365,True
1967,365,365,True
1968,366,366,True
1969,365,365,True
1970,365,365,True
1971,365,365,True
1972,366,366,True
1973,365,365,True
1974,365,365,True
1975,365,365,True
1976,366,366,True
1977,365,365,True
1978,365,365,True
1979,365,365,True
1980,366,366,True
1981,365,365,True
1982,365,365,True
1983,365,365,True
1984,366,366,True
1985,365,365,True
1986,365,365,True
1987,365,365,True
1988,366,366,True
1989,365,365,True
1990,365,365,True
1991,365,365,True
1992,366,366,True
1993,365,365,True
1994,365,365,True
1995,365,365,True
1996,366,366,True
1997,365,365,True
1998,365,365,True
1999,365,365,True
2000,366,366,True
2001,365,365,True
2002,365,365,True
2003,365,365,True
2004,366,366,True
2005,365,365,True
2006,365,365,True
2007,365,365,True
2008,366,366,True
2009,365,365,True
2010,365,365,True
2011,365,365,True
2012,366,366,True
2013,365,365,True
2014,365,365,True
2015,365,365,True
2016,366,366,True
2017,365,365,True
2018,365,365,True
2019,365,365,True
2020,366,366,True
2021,365,365,True
2022,365,365,True
2023,365,365,True
2024,366,366,True
2025,365,365,True
