rank,year,hwmid_sum,hwmid_method,country_cells,countries,aggregation,run_name,source_data,source_file_name
1,2043,30298.39,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
2,2070,27049.078,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
3,2079,21659.887,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
4,2065,20741.78,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
5,2039,19198.787,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
6,2040,19186.648,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
7,2041,18729.105,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
8,2038,16063.481,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
9,2088,13665.989,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
10,2086,13475.312,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
11,2098,13288.786,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
12,2095,12889.806,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
13,2080,11467.56,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
14,2062,11363.81,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
15,2020,11163.929,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
16,2003,10626.006,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
17,2064,10121.61,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
18,2053,9059.989,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
19,2074,8452.613,russo2015-noleap365-v1,1779,Germany+France,sum,copernicus_rcp45,Copernicus/CORDEX-CMIP5 tasAdjust 3-hourly file aggregated to daily Tmax,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc
