rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,source_file_names
1,2003,25287.0,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
2,2019,10910.798,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
3,2025,9279.456,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
4,2020,8193.442,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
5,2022,7681.0645,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
6,2015,7202.564,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
7,2023,7104.113,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
8,2018,6189.2607,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
9,1952,5378.6147,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
10,1976,5298.2593,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
11,2006,4869.168,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
12,1998,4456.381,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
13,2012,4134.4673,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
14,2016,3718.605,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
15,1990,3334.2666,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
16,2017,3267.0125,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
17,1957,3152.3535,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
18,1983,3126.1165,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
19,2024,2730.2625,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
20,2010,2715.0535,russo2015-noleap365-v1,1790,Germany+France,1,tx_ens_mean_0.25deg_reg_v33.0e.nc
