rank,year,hwmid_sum,country_cells,aggregation,run_name,source_metrics
1,2003,25220.982343491924,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
2,2019,10851.125050015222,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
3,2022,8392.80018039723,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
4,2020,8185.660680155808,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
5,2015,7190.378936633775,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
6,2018,6172.226375896484,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
7,1976,5328.440219339638,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
8,1952,5325.76072203093,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
9,2006,4886.616972112097,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
10,1998,4433.448685070442,1790,sum,e_obs_from_metrics,metrics_e_obs.pkl
