rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,source_directory_name,source_year_start,source_year_end
1,2003,24925.648,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
2,2026,24441.555,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
3,2025,12593.876,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
4,2019,11156.703,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
5,2022,8660.085,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
6,2023,7808.4365,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
7,2015,7471.203,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
8,2020,7374.457,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
9,2018,5661.842,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
10,1976,5134.3374,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
11,2006,4877.785,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
12,2024,4655.9004,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
13,1998,4628.8657,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
14,2012,4226.336,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
15,2016,3847.504,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
16,1952,3610.4734,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
17,1983,3468.1313,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
18,2017,3376.7908,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
19,1990,3357.4312,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
20,1957,2723.5537,russo2015-noleap365-v1,1779,Germany+France,77,t2m_europe,1950,2026
