dataset,country_set,countries,rank,year,hwmid_sum,country_cells,aggregation,hwmid_method
Historical / E-OBS,DE_FR,Germany+France,1,2003,25287.0,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,2,2019,10910.7978515625,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,3,2025,9279.4560546875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,4,2020,8193.4423828125,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,5,2022,7681.064453125,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,6,2015,7202.56396484375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,7,2023,7104.11279296875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,8,2018,6189.2607421875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,9,1952,5378.61474609375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_FR,Germany+France,10,1976,5298.25927734375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,1,2003,5719.91552734375,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,2,2015,3434.090087890625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,3,2019,3255.621337890625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,4,2018,3010.840087890625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,5,2010,2203.572265625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,6,1994,2141.599853515625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,7,2020,2104.144287109375,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,8,1957,2067.365234375,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,9,2022,2041.8980712890625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,DE_only,Germany,10,2006,1969.808837890625,744,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,1,2003,19567.091796875,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,2,2025,7792.54150390625,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,3,2019,7655.17919921875,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,4,2023,6292.435546875,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,5,2020,6089.30712890625,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,6,2022,5639.162109375,1046,sum,russo2015-noleap365-v1
Historical / E-OBS,FR_only,France,7,1976,4245.1806640625,1046,sum,russo2015-noleap365-v1
