dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,1,2003,8.210645829219416,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,2,2015,5.378060694166159,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,1,2003,8.151626676125865,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,2,2019,4.8848866542260705,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,1,2003,11.461389049147455,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,2,2019,5.5200612631674355,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,1,2003,16.3482682130407,Czechia+France+Poland
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,2,2019,6.525401755902891,Czechia+France+Poland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2003,8.730284891754732,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2015,5.54081996937341,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,1,2003,7.7091421411722685,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,2,2019,4.828058638129299,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
