dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,1,2003,8.362403023466344,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,2,2015,5.335167434422281,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,3,2019,4.478200064876583,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,4,2022,4.16846403378517,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,5,2023,3.736872251689098,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,6,2025,3.3449527938397936,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,7,2017,3.2148821479807195,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,8,2006,3.059541622213393,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,9,1994,3.003624850886487,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,10,2020,2.8883393600436755,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,1,2003,8.103091020794176,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,2,2019,4.888951607090875,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,3,2015,4.600717533768391,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,4,2022,4.473755132161207,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,5,2025,4.188287184330052,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,6,2023,3.5910840332861453,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,7,2018,3.269087507584086,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,8,2020,3.21088488617722,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,9,2006,2.6072911616432064,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,10,2012,2.4997282171126622,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,1,2003,11.388776921288168,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,2,2023,6.095278494000025,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,3,2025,5.905599368365724,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,4,2019,5.53274988870434,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
