weighting,technology_group,country,weight,unit,source_year,scenario,source_dataset,source_url,nodes
bio_tyndp2024_pemmdb_nt2040,bio,Austria,760.6445554814278,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,AT00
bio_tyndp2024_pemmdb_nt2040,bio,Belgium,614.625,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,BE00+BEOF
bio_tyndp2024_pemmdb_nt2040,bio,Czechia,548.4,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CZ00
bio_tyndp2024_pemmdb_nt2040,bio,France,1656.06,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,FR00+FR15
bio_tyndp2024_pemmdb_nt2040,bio,Germany,5835.196,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,DE00+DEKF
bio_tyndp2024_pemmdb_nt2040,bio,Italy,3575.04,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ITA00+ITCA+ITCN+ITCS+ITN1+ITS1+ITSA+ITSI
bio_tyndp2024_pemmdb_nt2040,bio,Luxembourg,143.3,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,LUB1+LUF1+LUG1+LUV1
bio_tyndp2024_pemmdb_nt2040,bio,Netherlands,208.6,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,NL00+NL60+NL6H+NLA0+NLBH+NLLL
bio_tyndp2024_pemmdb_nt2040,bio,Poland,1356.414878848356,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,PL00
capacity_tyndp2024_pemmdb_nt2040,capacity,Austria,68924.1898127914,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,AT00
capacity_tyndp2024_pemmdb_nt2040,capacity,Belgium,56856.6600565212,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,BE00+BEOF
capacity_tyndp2024_pemmdb_nt2040,capacity,Czechia,30070.74,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CZ00
capacity_tyndp2024_pemmdb_nt2040,capacity,France,245331.5669296915,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,FR00+FR15
capacity_tyndp2024_pemmdb_nt2040,capacity,Germany,756217.5769228394,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,DE00+DEKF
capacity_tyndp2024_pemmdb_nt2040,capacity,Italy,261957.64438877863,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ITA00+ITCA+ITCN+ITCS+ITN1+ITS1+ITSA+ITSI
capacity_tyndp2024_pemmdb_nt2040,capacity,Luxembourg,4197.3,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,LUB1+LUF1+LUG1+LUV1
capacity_tyndp2024_pemmdb_nt2040,capacity,Netherlands,210814.8495699412,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,NL00+NL60+NL6H+NLA0+NLBH+NLLL
capacity_tyndp2024_pemmdb_nt2040,capacity,Poland,85744.70357768399,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,PL00
capacity_tyndp2024_pemmdb_nt2040,capacity,Spain,295669.5581496335,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ES00
capacity_tyndp2024_pemmdb_nt2040,capacity,Switzerland,51097.80009904332,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CH00
hydro_tyndp2024_pemmdb_nt2040,hydro,Austria,9286.561759999997,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,AT00
hydro_tyndp2024_pemmdb_nt2040,hydro,Belgium,165.0019999999998,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,BE00+BEOF
hydro_tyndp2024_pemmdb_nt2040,hydro,Czechia,952.14,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CZ00
hydro_tyndp2024_pemmdb_nt2040,hydro,France,23643.00000000001,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,FR00+FR15
hydro_tyndp2024_pemmdb_nt2040,hydro,Germany,4752.9,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,DE00+DEKF
hydro_tyndp2024_pemmdb_nt2040,hydro,Italy,15847.19314,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ITA00+ITCA+ITCN+ITCS+ITN1+ITS1+ITSA+ITSI
hydro_tyndp2024_pemmdb_nt2040,hydro,Luxembourg,43.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,LUB1+LUF1+LUG1+LUV1
hydro_tyndp2024_pemmdb_nt2040,hydro,Netherlands,37.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,NL00+NL60+NL6H+NLA0+NLBH+NLLL
hydro_tyndp2024_pemmdb_nt2040,hydro,Poland,794.79,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,PL00
hydro_tyndp2024_pemmdb_nt2040,hydro,Spain,14838.855616300263,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,ES00
hydro_tyndp2024_pemmdb_nt2040,hydro,Switzerland,13240.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CH00
nuclear_tyndp2024_pemmdb_nt2040,nuclear,Czechia,5187.2,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,CZ00
nuclear_tyndp2024_pemmdb_nt2040,nuclear,France,62907.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,FR00+FR15
nuclear_tyndp2024_pemmdb_nt2040,nuclear,Poland,4440.0,MW,2040,NationalTrends,"ENTSO-E/ENTSOG TYNDP 2024 Scenarios final package, PEMMDB 2.5, National Trends 2040",https://2024-data.entsos-tyndp-scenarios.eu/files/scenarios-inputs/PEMMDB2.zip,PL00
