dataset,criterion,criterion_label,rank,year,score,country_cells,aggregation,score_type,hwmid_method,weighted_cells,weight_sum,population_year,population_source,population_source_alias
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,1,2003,25287.00249711104,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,2,2019,10910.799390423312,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,3,2025,9279.458349995186,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,4,2020,8193.451006280018,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,5,2022,7681.055942209686,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,6,2015,7202.559610592375,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,7,2023,7104.117734708257,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,8,2018,6189.2531904594125,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,9,1952,5378.617469185803,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,unweighted_hwmid_sum,Unweighted HWMId sum,10,1976,5298.257869624033,1790.0,sum,hwmid_sum,russo2015-noleap365-v1,,,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,1,2003,12.7075938162167,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,2,2019,6.188665314756483,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,3,2020,4.628704467600837,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,4,2025,4.285273544603584,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,5,2015,4.221062020607394,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,6,2018,3.927987948635077,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,7,2022,3.9210820245826623,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,8,2023,3.245154237800228,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,9,1976,3.2174252556055642,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
Historical / E-OBS,population_weighted_hwmid_mean,Population-weighted HWMId mean,10,1952,3.021492334358259,,,population_weighted_hwmid_mean,russo2015-noleap365-v1,2006.0,149057456.9963198,2020,WorldPop 1 km UN-adjusted population counts,wpicuadj1km
