dataset,criterion,criterion_label,metric,rank,year,score,country_cells,aggregation,hwmid_method
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,1,2003,25287.0,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,2,2019,10910.7978515625,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,3,2025,9279.4560546875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,4,2020,8193.4423828125,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,5,2022,7681.064453125,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,6,2015,7202.56396484375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,7,2023,7104.11279296875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,8,2018,6189.2607421875,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,9,1952,5378.61474609375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_sum,HWMId sum,hwmid,10,1976,5298.25927734375,1790,sum,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,1,2003,14.446850847894014,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,2,2019,6.173525156633108,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,3,2025,5.392202527515655,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,4,2020,4.600646166686216,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,5,2022,4.373604296258687,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,6,2023,4.171182871182597,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,7,2015,4.031437857118179,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,8,2018,3.430622720710237,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,9,1952,3.044718555060866,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_area_mean,Area-weighted HWMId mean,hwmid,10,1976,2.9455474647067,1790,area_weighted_mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,1,2003,14.126815795898438,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,2,2019,6.0954179763793945,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,3,2025,5.184053897857666,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,4,2020,4.577342033386231,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,5,2022,4.291097640991211,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,6,2015,4.023778915405273,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,7,2023,3.968778133392334,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,8,2018,3.4576876163482666,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,9,1952,3.004812717437744,1790,mean,russo2015-noleap365-v1
Historical / E-OBS,hwmid_mean,Mean HWMId,hwmid,10,1976,2.959921360015869,1790,mean,russo2015-noleap365-v1
