dataset,plot_label,data_family,group_label,scenario,gcm,chain_key,rank,year,hwmid_sum,hwmid_method,country_cells
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,1,2003,25287.0,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,2,2019,10910.798,russo2015-noleap365-v1,1790
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,1,2003,24925.648,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,2,2026,24441.555,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,1,2026,39857.348,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,2,2032,34494.51,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,1,2091,64202.68,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,2,2099,57037.01,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,1,2043,30298.39,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,2,2070,27049.078,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,1,2094,46789.492,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,2,2093,40336.215,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,1,2062,22341.527,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,2,2030,19579.527,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,1,2092,57152.09,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP85,MPI-CLM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,MPI-M-MPI-ESM-LR,MPI-CLM,2,2082,50744.855,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,1,2069,23747.408,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP45,NCC-HIRHAM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,NCC-NorESM1-M,NCC-HIRHAM,2,2070,23068.68,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,1,2091,35876.645,russo2015-noleap365-v1,1779
NCC-NorESM1-M / DMI-HIRHAM5 RCP85,NCC-HIRHAM RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,NCC-NorESM1-M,NCC-HIRHAM,2,2060,30944.633,russo2015-noleap365-v1,1779
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2013,68366.02,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 HISTORICAL,CNRM-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,HISTORICAL,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2010,37394.406,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2076,72819.445,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CNRM-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP126,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2059,71085.79,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CNRM-ICON SSP2-4.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP245,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2078,141179.7,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CNRM-ICON SSP2-4.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP245,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2089,126368.14,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CNRM-ICON SSP3-7.0,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP370,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2081,127527.84,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CNRM-ICON SSP3-7.0,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP370,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2080,100462.625,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CNRM-ICON SSP5-8.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP585,CNRM-ESM2-1,CMIP6 CNRM-ICON,1,2100,285857.22,russo2015-noleap365-v1,6115
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CNRM-ICON SSP5-8.5,CORDEX-CMIP6,CORDEX-CMIP6 / CNRM-driven ICON-CLM,SSP585,CNRM-ESM2-1,CMIP6 CNRM-ICON,2,2098,203022.48,russo2015-noleap365-v1,6115
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,MPI-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / MPI-driven ICON-CLM,HISTORICAL,MPI-ESM1-2-HR,CMIP6 MPI-ICON,1,2014,61565.44,russo2015-noleap365-v1,6115
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,MPI-ICON Historical,CORDEX-CMIP6,CORDEX-CMIP6 / MPI-driven ICON-CLM,HISTORICAL,MPI-ESM1-2-HR,CMIP6 MPI-ICON,2,1961,37839.125,russo2015-noleap365-v1,6115
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 SSP126,MPI-ICON SSP1-2.6,CORDEX-CMIP6,CORDEX-CMIP6 / MPI-driven ICON-CLM,SSP126,MPI-ESM1-2-HR,CMIP6 MPI-ICON,1,2063,57514.72,russo2015-noleap365-v1,6115
