dataset,plot_label,data_family,group_label,scenario,gcm,chain_key,rank,year,hwmid_sum,hwmid_method,country_cells
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,1,2003,25287.0,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,2,2019,10910.798,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,3,2025,9279.456,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,4,2020,8193.442,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,5,2022,7681.0645,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,6,2015,7202.564,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,7,2023,7104.113,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,8,2018,6189.2607,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,9,1952,5378.6147,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS,Historical,Historical observations and reanalysis,HISTORICAL,,E-OBS,10,1976,5298.2593,russo2015-noleap365-v1,1790
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,1,2003,24925.648,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,2,2026,24441.555,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,3,2025,12593.876,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,4,2019,11156.703,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,5,2022,8660.085,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,6,2023,7808.4365,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,7,2015,7471.203,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,8,2020,7374.457,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,9,2018,5661.842,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,Historical,Historical observations and reanalysis,HISTORICAL,,ERA5,10,1976,5134.3374,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,1,2026,39857.348,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,2,2032,34494.51,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,3,2042,22587.219,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,4,2075,20858.514,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,5,2093,20793.16,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,6,2097,17944.896,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,7,2028,17115.553,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,8,2025,15096.046,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,9,2085,14746.36,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,10,1965,13312.24,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,11,2064,12744.118,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,12,2086,12518.603,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,13,2061,12399.555,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,14,2079,12318.8955,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,15,2049,12188.834,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,16,2043,12001.035,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,17,2059,11952.932,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,18,2098,11852.939,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,19,2060,11480.786,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP26,CNRM-ALADIN RCP2.6,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP26,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,20,2038,11003.856,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,1,2091,64202.68,russo2015-noleap365-v1,1779
