dataset,weighting,rank,year,weighted_hwmid,weighted_countries,hwmid_method
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,1,2003,8.366966456808637,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
Historical / E-OBS,bio_tyndp2024_pemmdb_nt2040,2,2015,5.334397175589307,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,1,2003,8.105857721030056,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,capacity_tyndp2024_pemmdb_nt2040,2,2019,4.888041995483646,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,1,2003,11.393952967274222,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,hydro_tyndp2024_pemmdb_nt2040,2,2023,6.09664978051479,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,1,2003,16.38959692230147,Czechia+France+Poland,russo2015-noleap365-v1
Historical / E-OBS,nuclear_tyndp2024_pemmdb_nt2040,2,2025,6.6983701613296365,Czechia+France+Poland,russo2015-noleap365-v1
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2003,8.643571168777237,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2015,5.405750306593243,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,1,2003,7.652546362712549,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,2,2019,4.828268000928508,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,1,2003,7.937636366185965,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,2,2019,4.873674464157901,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,1,2003,7.627429561281472,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,2,2019,4.810105711931684,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,1,2003,7.8211255042515075,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,2,2019,4.930610176648324,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,1,2003,7.589686578798912,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,2,2019,4.974096584499027,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,1,2003,9.428049365663105,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,2,2022,5.022605176853066,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,1,2003,6.628726484963548,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,2,2022,5.035872165315802,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,1,2003,7.764119109251967,Belgium+France+Germany+Italy+Netherlands+Poland+Spain,russo2015-noleap365-v1
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,2,2019,5.683034493070783,Belgium+France+Germany+Italy+Netherlands+Poland+Spain,russo2015-noleap365-v1
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,1,2003,7.98355093067394,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,2,2022,4.692797319033754,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,1,2003,7.909648038323536,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,2,2019,4.893472844970102,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,bio_tyndp2024_pemmdb_nt2040,1,2041,18.64580491143017,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,bio_tyndp2024_pemmdb_nt2040,2,2070,17.99944542102713,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,capacity_tyndp2024_pemmdb_nt2040,1,2070,15.370386161677102,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,capacity_tyndp2024_pemmdb_nt2040,2,2043,15.02143062805701,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hydro_tyndp2024_pemmdb_nt2040,1,2041,21.30188580916015,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hydro_tyndp2024_pemmdb_nt2040,2,2043,17.215006462004038,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,nuclear_tyndp2024_pemmdb_nt2040,1,2043,19.00104042489637,Czechia+France+Poland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,nuclear_tyndp2024_pemmdb_nt2040,2,2079,15.082622838414515,Czechia+France+Poland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2041,20.18787727823868,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2043,16.955441878944665,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,pv_tyndp2024_pemmdb_nt2040,1,2070,15.40854305155773,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,pv_tyndp2024_pemmdb_nt2040,2,2043,14.804077636058937,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,renewables_tyndp2024_pemmdb_nt2040,1,2070,15.246449745568963,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,renewables_tyndp2024_pemmdb_nt2040,2,2043,14.820385865347642,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,solar_tyndp2024_pemmdb_nt2040,1,2070,15.321178243006596,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
