dataset,data_product,comparison_period,rank,year,hwmid_sum,hwmid_method,country_cells
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,1,2003,25287.0,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,2,2019,10910.798,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,3,2025,9279.456,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,4,2020,8193.442,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,5,2022,7681.0645,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,6,2015,7202.564,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,7,2023,7104.113,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,8,2018,6189.2607,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,9,1952,5378.6147,russo2015-noleap365-v1,1790
Historical / E-OBS,E-OBS v33.0e,1950-2025 common period,10,1976,5298.2593,russo2015-noleap365-v1,1790
Historical / ERA5,ERA5,1950-2025 common period,1,2003,24925.648,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,2,2025,12593.876,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,3,2019,11156.703,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,4,2022,8660.085,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,5,2023,7808.4365,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,6,2015,7471.203,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,7,2020,7374.457,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,8,2018,5661.842,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,9,1976,5134.3374,russo2015-noleap365-v1,1779
Historical / ERA5,ERA5,1950-2025 common period,10,2006,4877.785,russo2015-noleap365-v1,1779
