dataset,rank,year,hwmid_sum,hwmid_method,country_cells
Historical / E-OBS,1,2003,25287.0,russo2015-noleap365-v1,1790
Historical / E-OBS,2,2019,10910.798,russo2015-noleap365-v1,1790
Historical / E-OBS,3,2025,9279.456,russo2015-noleap365-v1,1790
Historical / E-OBS,4,2020,8193.442,russo2015-noleap365-v1,1790
Historical / E-OBS,5,2022,7681.0645,russo2015-noleap365-v1,1790
Historical / E-OBS,6,2015,7202.564,russo2015-noleap365-v1,1790
Historical / E-OBS,7,2023,7104.113,russo2015-noleap365-v1,1790
Historical / E-OBS,8,2018,6189.2607,russo2015-noleap365-v1,1790
Historical / E-OBS,9,1952,5378.6147,russo2015-noleap365-v1,1790
Historical / E-OBS,10,1976,5298.2593,russo2015-noleap365-v1,1790
Historical / ERA5,1,2003,24925.648,russo2015-noleap365-v1,1779
Historical / ERA5,2,2026,24441.555,russo2015-noleap365-v1,1779
Historical / ERA5,3,2025,12593.876,russo2015-noleap365-v1,1779
Historical / ERA5,4,2019,11156.703,russo2015-noleap365-v1,1779
Historical / ERA5,5,2022,8660.085,russo2015-noleap365-v1,1779
Historical / ERA5,6,2023,7808.4365,russo2015-noleap365-v1,1779
Historical / ERA5,7,2015,7471.203,russo2015-noleap365-v1,1779
Historical / ERA5,8,2020,7374.457,russo2015-noleap365-v1,1779
Historical / ERA5,9,2018,5661.842,russo2015-noleap365-v1,1779
Historical / ERA5,10,1976,5134.3374,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,1,2043,30298.39,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,2,2070,27049.078,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,3,2079,21659.887,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,4,2065,20741.78,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,5,2039,19198.787,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,6,2040,19186.648,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,7,2041,18729.105,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,8,2038,16063.481,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,9,2088,13665.989,russo2015-noleap365-v1,1779
RCP4.5 / IPSL-WRF,10,2086,13475.312,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,1,2092,57152.09,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,2,2082,50744.855,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,3,2085,41870.56,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,4,2098,41549.434,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,5,2090,39502.58,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,6,2072,37310.883,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,7,2096,33321.777,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,8,2086,31008.078,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,9,2094,30978.662,russo2015-noleap365-v1,1779
RCP8.5 / MPI-CLM,10,2100,29097.68,russo2015-noleap365-v1,1779
